Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g catfish.
Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with Parmesan.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with other hard cheese.	Garlic Parmesan Cauliflower Steaks: Serve immediately sprinkled with sword bean.
Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is cooked through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is basmati rice through remove from pan and set aside	Teriyaki Chicken and Rice Bowl: Add the chicken with the marinade and simmer until sauce reduces and thickens and chicken is brawn through remove from pan and set aside
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on any white fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on spinach and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.	Pesto pasta: Toss well then tip into a serving bowl and sprinkle with the remaining Parmesan.
Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the chicken is cooked.	Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the tofu / chicken pieces is cooked.	Thai green chicken curry: Turn the heat down to a simmer and cook covered for about 8 minutes until the arugula is cooked.
Classic roast chicken & gravy: While the chicken is resting make the gravy.	Classic roast chicken & gravy: While the veggie sausages is resting make the gravy.	Classic roast chicken & gravy: While the redcurrant jelly is resting make the gravy.
No-fuss shepherd's pie: When soft turn up the heat crumble in 500g lamb mince and brown tipping off any excess fat.	No-fuss shepherd's pie: When soft turn up the heat crumble in 500g lentils and brown tipping off any excess fat.	No-fuss shepherd's pie: When soft turn up the heat crumble in 500g jerusalem artichoke and brown tipping off any excess fat.
Slow cooker lamb curry: Cover with the lid and chill in the fridge overnight.STEP 2The next day stir again then cook on Low for 6 hrs until the lamb and vegetables are tender.	Slow cooker lamb curry: Cover with the lid and chill in the fridge overnight.STEP 2The next day stir again then cook on Low for 6 hrs until the  any other meat and vegetables are tender.	Slow cooker lamb curry: Cover with the lid and chill in the fridge overnight.STEP 2The next day stir again then cook on Low for 6 hrs until the swordfish and vegetables are tender.
Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and cheese and mix again.	Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and cheddar cheese and mix again.	Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and tamarillo and mix again.
Wild garlic ravioli: Drain loosely add straight to the pan of saffron butter and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron  margerine and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron crisp rice and toss well to coat.
Authentic Neapolitan Pizza: Spread about a handful of Mozzarella evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of mascarpone evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of pinto bean evenly across the pizza
Jamie's classic family lasagne: Add all the minced meat using a wooden spoon to break it up as you go.	Jamie's classic family lasagne: Add all the pork mince or quorn mince meat using a wooden spoon to break it up as you go.	Jamie's classic family lasagne: Add all the vegetable suet meat using a wooden spoon to break it up as you go.
Chicken tikka masala: Add the chicken breasts and stir well to coat in the paste.	Chicken tikka masala: Add the chicken thigh or quorn  and stir well to coat in the paste.	Chicken tikka masala: Add the advocaat and stir well to coat in the paste.
Stir-fry with broccoli & brown rice: Meanwhile heat the rice following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the white rice  following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the plum following the pack instructions and serve with the stir-fry.
Meatball & tomato soup: Season to taste then add the meatballs and spinach.	Meatball & tomato soup: Season to taste then add the iâ€™d swap the meat out for a variety of beans. or iâ€™d make arancini to replace the meatballs  and spinach.	Meatball & tomato soup: Season to taste then add the mozzarella and spinach.
Macaroni cheese with veg: Mix 3 tbsp of the milk with the cornflour and warm the remaining milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the  semi skimmed milk with the cornflour and warm the remaining  semi skimmed milk in a pan.	Macaroni cheese with veg: Mix 3 tbsp of the molasses with the cornflour and warm the remaining molasses in a pan.
Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and feta cheese’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and carrot’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.
Lasagne: Tip in the beef and pork mince the milk and chopped tomatoes.	Lasagne: Tip in the mushrooms and pork mushrooms the milk and chopped tomatoes.	Lasagne: Tip in the passion fruit and pork passion fruit the milk and chopped tomatoes.
White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and beans to the onion-garlic mixture.	White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and other beans eg borlotti to the onion-garlic mixture.	White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and egg noodle to the onion-garlic mixture.
Veggie lasagne: For the cheese sauce put the flour butter and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour vegan margerine and milk in a large saucepan and place over a medium heat.	Veggie lasagne: For the cheese sauce put the flour corn flour and milk in a large saucepan and place over a medium heat.
Sausage and mash: Add the sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the vegan sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the single cream back to the tray and warm through for 1–2 minutes.
Mushroom risotto: Tip 300g risotto rice into the pan and cook for 1 min.	Mushroom risotto: Tip 300g any other rice (but wouldn't be the same *sad face*) into the pan and cook for 1 min.	Mushroom risotto: Tip 300g mayonnaise into the pan and cook for 1 min.
Stir-fried pork with ginger and soy: Season the pork with pepper.	Stir-fried pork with ginger and soy: Season the chicken with pepper.	Stir-fried pork with ginger and soy: Season the endive with pepper.
Pasta with meatballs: In a large bowl mix the minced beef Parmesan&nbsp;garlic egg yolk breadcrumbs&nbsp;parsley&nbsp;together season then mould into 12 meatballs (roughly 50g each).	Pasta with meatballs: In a large bowl mix the pork mince Parmesan&nbsp;garlic egg yolk breadcrumbs&nbsp;parsley&nbsp;together season then mould into 12 meatballs (roughly 50g each).	Pasta with meatballs: In a large bowl mix the pepper Parmesan&nbsp;garlic egg yolk breadcrumbs&nbsp;parsley&nbsp;together season then mould into 12 meatballs (roughly 50g each).
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split tomatoes 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split mung bean 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g lentils and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g chapati flour and cook stirring for 3-4 mins until the meat is browned all over.
Spaghetti Bolognese: Add the minced beef and cook for 5-6 minutes until browned.	Spaghetti Bolognese: Add the turkey mince and cook for 5-6 minutes until browned.	Spaghetti Bolognese: Add the sausage and cook for 5-6 minutes until browned.
Sweet potato and chickpea curry: Add the chickpeas tomatoes and sweet potato to the pan.	Sweet potato and chickpea curry: Add the chickpeas coconut milk and sweet potato to the pan.	Sweet potato and chickpea curry: Add the chickpeas tea and sweet potato to the pan.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g quorn mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g jujube and cook stirring for 3-4 mins until the meat is browned all over.
Korean Fried Chicken: Place the gochujang honey sugar soy sauce garlic ginger vegetable oil and sesame oil in a saucepan and stir together.	Korean Fried Chicken: Place the gochujang honey sugar soy sauce garlic ginger olive oil and sesame olive oil in a saucepan and stir together.	Korean Fried Chicken: Place the gochujang honey sugar soy sauce garlic ginger mooli and sesame mooli in a saucepan and stir together.
Stir-fry with broccoli & brown rice: Meanwhile heat the rice following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the pasta following the pack instructions and serve with the stir-fry.	Stir-fry with broccoli & brown rice: Meanwhile heat the cola following the pack instructions and serve with the stir-fry.
Tomato & mascarpone risotto: Stir through the parmesan mascarpone or cream cheese and basil then season to taste.	Tomato & mascarpone risotto: Stir through the parmesan creme fraiche or cream cheese and basil then season to taste.	Tomato & mascarpone risotto: Stir through the parmesan club soda or cream cheese and basil then season to taste.
Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and cheese and mix again.	Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and cheddar cheese and mix again.	Lentil Shepherd's Pie with Sweet Potato Mash: Add the butter and brown rice syrup and mix again.
Healthy chicken katsu curry: Coat the chicken with the nuts and place on the tray.	Healthy chicken katsu curry: Coat the  pork cutlet with the nuts and place on the tray.	Healthy chicken katsu curry: Coat the longan with the nuts and place on the tray.
Simple veggie & tofu stir-fry: Cut the tofu into cubes then place in a bowl and dust with the cornflour and a pinch of sea salt and black pepper.	Simple veggie & tofu stir-fry: Cut the lentils into cubes then place in a bowl and dust with the cornflour and a pinch of sea salt and black pepper.	Simple veggie & tofu stir-fry: Cut the haricot bean into cubes then place in a bowl and dust with the cornflour and a pinch of sea salt and black pepper.
Vegan Chicken Curry: We suggest serving with basmati rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with any other rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with marzipan vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!
Vegan Chicken Curry: We suggest serving with basmati rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with brown rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with water vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!
No-fuss shepherd's pie: When soft turn up the heat crumble in 500g lamb mince and brown tipping off any excess fat.	No-fuss shepherd's pie: When soft turn up the heat crumble in 500g lentils and brown tipping off any excess fat.	No-fuss shepherd's pie: When soft turn up the heat crumble in 500g za'atar and brown tipping off any excess fat.
Scottish Oat Cakes: Add the butter and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the margarine and rub together until everything is mixed and has the consistency of large bread crumbs.	Scottish Oat Cakes: Add the sweetbread and rub together until everything is mixed and has the consistency of large bread crumbs.
Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the cabbage carrots cilantro green onion and peanuts.	Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the pak choi carrots cilantro green onion and peanuts.	Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the cashew nut carrots cilantro green onion and peanuts.
Kedgeree: Meanwhile put 300g skin-on undyed smoked haddock fillet and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on any white fish and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.	Kedgeree: Meanwhile put 300g skin-on marrow and 2 bay leaves in a frying pan cover with 300ml milk then poach for 10 mins until the flesh flakes.
Butternut squash & sage risotto: In a separate pan melt half the butter over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the pumpkin over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the truffle oil over a medium heat.
Chicken fajitas with guacamole: Add the chicken.	Chicken fajitas with guacamole: Add the turkey.	Chicken fajitas with guacamole: Add the anchovy.
Quorn Meat Free Mince Moussaka: Pour the evaporated milk into a measuring jug and make-up to 1 litre with water.	Quorn Meat Free Mince Moussaka: Pour the full fat milk into a measuring jug and make-up to 1 litre with water.	Quorn Meat Free Mince Moussaka: Pour the grouse into a measuring jug and make-up to 1 litre with water.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g quorn mince  and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g ham and cook stirring for 3-4 mins until the meat is browned all over.
Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes feta cheese red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes halloumi red onions and olives.	Greek Salad: On a large platter arrange the cucumber green pepper cherry tomatoes olive red onions and olives.
Easy Pork Stroganoff: Tip the pork and all the juices onto a plate.	Easy Pork Stroganoff: Tip the chicken and all the juices onto a plate.	Easy Pork Stroganoff: Tip the chilli sauce and all the juices onto a plate.
The Best Vegan Burgers: Once cooked serve on a toasted wholemeal bun with your burger staples (spinach red onion tomato guacamole ketchup)	The Best Vegan Burgers: Once cooked serve on a toasted any bread as long as it's vegan bun with your burger staples (spinach red onion tomato guacamole ketchup)	The Best Vegan Burgers: Once cooked serve on a toasted black bean bun with your burger staples (spinach red onion tomato guacamole ketchup)
Mushroom Leek Stroganoff: Bring to a simmer then pour in the coconut milk tahini nutritional yeast the remaining ½ teaspoon kosher salt and paprika.	Mushroom Leek Stroganoff: Bring to a simmer then pour in the soy milk tahini nutritional yeast the remaining ½ teaspoon kosher salt and paprika.	Mushroom Leek Stroganoff: Bring to a simmer then pour in the cloves tahini nutritional yeast the remaining ½ teaspoon kosher salt and paprika.
Creamy chicken stew: Add the chicken to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the pork chops to the leeks leaving behind any fat in the pan.	Creamy chicken stew: Add the plantain to the leeks leaving behind any fat in the pan.
Baked eggs – lots of ways: Place your chosen filling into the prepared ramekins crack a couple of eggs on top and season with salt and pepper.	Baked eggs – lots of ways: Place your chosen filling into the prepared ramekins crack a couple of vegan egg substitute.  on top and season with salt and pepper.	Baked eggs – lots of ways: Place your chosen filling into the prepared ramekins crack a couple of halloumi on top and season with salt and pepper.
Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g lean minced beef.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g quorn mince.	Chilli con carne recipe: Add the onion and cook stirring fairly frequently for about 5 minutes or until the onion is soft squidgy and slightly translucent.STEP 5Tip in the garlic red pepper 1 heaped tsp hot chilli powder or 1 level tbsp mild chilli powder 1 tsp paprika and 1 tsp ground cumin.STEP 6Give it a good stir then leave it to cook for another 5 minutes stirring occasionally.STEP 7Brown 500g bicarbonate of soda.
Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the pork loin and the Pinkelwurst and cook over low heat for 30 minutes.	Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the any vegan meat substitutes or oyster mushrooms or maybe jackfruit and the Pinkelwurst and cook over low heat for 30 minutes.	Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the shallot and the Pinkelwurst and cook over low heat for 30 minutes.
Easy toad-in-the-hole: Remove the dish from the oven pour the batter over and around the sausages then return to the oven and cook for a further 35 mins or until the sausages are cooked through and the batter is golden on top.	Easy toad-in-the-hole: Remove the dish from the oven pour the batter over and around the turkey sausages then return to the oven and cook for a further 35 mins or until the turkey sausages are cooked through and the batter is golden on top.	Easy toad-in-the-hole: Remove the dish from the oven pour the batter over and around the balor bean then return to the oven and cook for a further 35 mins or until the balor bean are cooked through and the batter is golden on top.
Mackerel blood orange chorizo and walnut salad: Break the mackerel into large flakes and scatter on top.	Mackerel blood orange chorizo and walnut salad: Break the salmon into large flakes and scatter on top.	Mackerel blood orange chorizo and walnut salad: Break the passion fruit into large flakes and scatter on top.
Wild garlic ravioli: Drain loosely add straight to the pan of saffron butter and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron  margerine and toss well to coat.	Wild garlic ravioli: Drain loosely add straight to the pan of saffron jambu and toss well to coat.
Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the cooked apart into little pieces set aside.	Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the cooked white rice apart into little pieces set aside.	Nasi Goreng (Indonesian Fried Rice): At the same time while veggies are cooking whisk  salt and scramble the eggs in a separate oiled pan breaking the plant-based sausage apart into little pieces set aside.
Easy carrot cake: Whisk the oil yogurt eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil creme freche  eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil pear eggs vanilla and zest in a jug.
Dumpling Wrapper Bun with juicy filling: Prepare the zucchini and filling	Dumpling Wrapper Bun with juicy filling: Prepare the butternut squash and filling	Dumpling Wrapper Bun with juicy filling: Prepare the apricot and filling
Versatile veg soup: Fry the vegetables and potatoes in a pan with the oil for a few minutes until beginning to soften.	Versatile veg soup: Fry the vegetables and tinned tomatoes in a pan with the oil for a few minutes until beginning to soften.	Versatile veg soup: Fry the vegetables and kidney in a pan with the oil for a few minutes until beginning to soften.
Roasted sausage and potato supper: Remove from the oven turn the sausages over and toss the vegetables in the cooking juices.	Roasted sausage and potato supper: Remove from the oven turn the vegetarian sausage over and toss the vegetables in the cooking juices.	Roasted sausage and potato supper: Remove from the oven turn the barbeque sauce over and toss the vegetables in the cooking juices.
skillet chicken & zucchini parmesan: Brown each side of chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of this (is not) chicken for 3-5 minutes.	skillet chicken & zucchini parmesan: Brown each side of macadamia nut for 3-5 minutes.
Authentic Neapolitan Pizza: Spread about a handful of Mozzarella evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of vegan mozzarella evenly across the pizza	Authentic Neapolitan Pizza: Spread about a handful of caraway seeds evenly across the pizza
Vegan Potato Leek Soup: Then add in the coconut cream.	Vegan Potato Leek Soup: Then add in the coconut cream.	Vegan Potato Leek Soup: Then add in the coconut cream.
Sausage and mash: Add the sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the vegan sausages back to the tray and warm through for 1–2 minutes.	Sausage and mash: Add the maple syrup back to the tray and warm through for 1–2 minutes.
Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen Quorn Fillets	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen tofu	Quorn Fillets in Red Pesto Sauce: Heat the oil in a shallow pan and lightly brown the frozen cassava flour
Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the cabbage carrots cilantro green onion and peanuts.	Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the pak choi carrots cilantro green onion and peanuts.	Cold Peanut Noodle Salad: Combine the cooled and well drained pasta in a large bowl with the damson carrots cilantro green onion and peanuts.
Creamy Coconut-Lime Salmon: Season the salmon with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the tofu (it would soak up all those juices and taste amazing) with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the sake with ½ teaspoon salt.
Salmon Fish Pie: Flake in the cooked salmon fillets and add chives peas and sweetcorn.	Salmon Fish Pie: Flake in the cooked firm white fish  and add chives peas and sweetcorn.	Salmon Fish Pie: Flake in the cooked mange-tout and add chives peas and sweetcorn.
The Best Red Lentil Dahl: Add the garlic ginger and red chilli and cook for a few minutes.	The Best Red Lentil Dahl: Add the garlic ginger and  chick peas chilli and cook for a few minutes.	The Best Red Lentil Dahl: Add the garlic ginger and cashew nut chilli and cook for a few minutes.
My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with butter then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with solid vegetable spread then line with parchment / baking paper.	My best Vanilla Cake - stays moist 4 days: Grease 2 x 20cm / 8” cake pans with kohl rabi then line with parchment / baking paper.
Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dried chickpeas on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour dry green lentils  on top then sprinkle the curry powder evenly over the beans.	Slow Cooker Chickpea Curry With Sweet Potatoes and Red Peppers: Pour wheat noodle on top then sprinkle the curry powder evenly over the beans.
Mushroom stroganoff: Heat 250g pouch cooked wild rice following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.	Mushroom stroganoff: Heat 250g pouch brown rice following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.	Mushroom stroganoff: Heat 250g pouch chard following pack instructions then stir through the remaining chopped parsley and serve with the stroganoff.
Garlic mushroom pasta: Finely grate in most of the Parmesan stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of Parmesan.	Garlic mushroom pasta: Finely grate in most of the cheddar stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of cheddar.	Garlic mushroom pasta: Finely grate in most of the pollock stir in the crème fraîche taste season to perfection and dish up finishing with a final grating of pollock.
The best spaghetti bolognese: Increase the heat to medium-high add 500g beef mince and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g minced chicken breast  and cook stirring for 3-4 mins until the meat is browned all over.	The best spaghetti bolognese: Increase the heat to medium-high add 500g pecorino and cook stirring for 3-4 mins until the meat is browned all over.
Chicken & chorizo jambalaya: Stir the chicken back in with 250g long grain rice add the 400g can of tomatoes and 350ml chicken stock.	Chicken & chorizo jambalaya: Stir the prawn back in with 250g long grain rice add the 400g can of tomatoes and 350ml prawn stock.	Chicken & chorizo jambalaya: Stir the gari flour back in with 250g long grain rice add the 400g can of tomatoes and 350ml gari flour stock.
Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside coconut rice.	Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside  oat yoghurt rice.	Filling & Nourishing Red Lentil Curry with Spinach: Serve alongside agave rice.
Green beans & mushrooms with tangy soy dressing: Pour over the beans and toss gently.	Green beans & mushrooms with tangy soy dressing: Pour over the other green beans or green vegetable and toss gently.	Green beans & mushrooms with tangy soy dressing: Pour over the shortening and toss gently.
Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the eggs.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the silken tofu.	Perfect scrambled eggs: Don’t allow the butter to brown or it will discolour the white fish.
Beef stew: Gradually stir in 600ml hot water then tip in 850g stewing beef and bring to a gentle simmer.	Beef stew: Gradually stir in 600ml hot water then tip in 850g stewing lamb and bring to a gentle simmer.	Beef stew: Gradually stir in 600ml hot water then tip in 850g crisp rice and bring to a gentle simmer.
Meatball & tomato soup: Season to taste then add the meatballs and spinach.	Meatball & tomato soup: Season to taste then add the quorn meatballs and spinach.	Meatball & tomato soup: Season to taste then add the mulberries and spinach.
Butternut squash & sage risotto: In a separate pan melt half the butter over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the extra virgin olive oil over a medium heat.	Butternut squash & sage risotto: In a separate pan melt half the apricot over a medium heat.
Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and goat’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and feta cheese’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.	Roasted butternut squash with goat's cheese: Arrange the roasted vegetables and cod roe’s cheese in the squash halves scatter with the breadcrumb mix and bake for a further 10 minutes or until golden and bubbling.
Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of Parmesan.	Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of any cheese.	Aubergine Parmigiana (Melanzane alla Parmigiana): Repeat these layers until you’ve used all the ingredients up finishing with a little sauce and another good sprinkling of longan.
Classic Lasagne: Cook beef until no longer pink breaking up with a wooden spoon then drain fat.	Classic Lasagne: Cook quorn mince until no longer pink breaking up with a wooden spoon then drain fat.	Classic Lasagne: Cook celery salt until no longer pink breaking up with a wooden spoon then drain fat.
Vegan Chicken Curry: We suggest serving with basmati rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with another rice vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!	Vegan Chicken Curry: We suggest serving with raspberries vegan naan and a sprinkle of chopped coriander for the ultimate curry experience!
Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and feta on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and haloumi cheese on the platter.	Mediterranean Mezze Platter: Arrange the cucumber tomatoes carrots grapes and dab on the platter.
White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and beans to the onion-garlic mixture.	White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and other beans eg borlotti to the onion-garlic mixture.	White Bean Pasta with Rosemary Pesto: When the pasta is nearly done cooking add the tomato paste and syrup to the onion-garlic mixture.
